     FID  IID    SOL           C1           C2           C3           C4 
  AT0751    .      0    -0.014009    0.0434024    -0.038891   0.00482902 
  AT0758    .      0    0.0069119    0.0437277   -0.0316852    0.0268765 
  AT0766    .      0    0.0423682   -0.0153443   0.00105537  -0.00310069 
  AT0768    .      0    0.0261587    0.0542244   -0.0553745    0.0187685 
  AT0770    .      0    0.0624732   -0.0236899    0.0223641    0.0241744 
  AT0777    .      0    0.0210012    0.0658403   -0.0800133   -0.0230865 
  AT0782    .      0    0.0283189    0.0351712   -0.0380691    -0.032114 
  AT0790    .      0    0.0130552    0.0382306     -0.04065   0.00356778 
  AT0793    .      0    0.0155425    0.0508548   -0.0587173   0.00701296 
  AT0794    .      0    0.0166255    -0.026671    0.0171576  0.000964785 
  AT0796    .      0    0.0485544   -0.0209022   0.00660396    -0.037471 
  AT0801    .      0   -0.0499648    0.0350138    0.0216986   -0.0294563 
  AT0815    .      0    0.0342238    0.0458823   -0.0769859    0.0235291 
  AT0817    .      0    0.0416803   0.00422069    0.0489364   -0.0138418 
  AT0820    .      0   -0.0233341   0.00135613   -0.0136455   0.00700206 
  AT0822    .      0      0.03931    0.0526436   -0.0893439  -0.00296108 
  AT0839    .      0    0.0322295    0.0140719   0.00925549   -0.0129294 
  AT0851    .      0    0.0574198     0.040565   -0.0597245    0.0167191 
  AT0853    .      0   -0.0207005    0.0425937    0.0214851    0.0392397 
  AT0865    .      0    0.0656553    0.0359025   -0.0609936 -0.000810939 
  AT0868    .      0     0.038728    0.0568375    -0.074894    0.0572151 
  AT0869    .      0    0.0487416    0.0292272    -0.052104   -0.0298625 
  AT0872    .      0     0.054813    0.0687044    -0.119455  -0.00313133 
  AT0880    .      0    0.0246978    0.0137433   0.00822981  -0.00122513 
  AT0885    .      0    0.0480263    0.0540537    -0.042573   -0.0256039 
  AT0888    .      0    0.0586813    0.0465605   -0.0843876     0.029336 
  AT0892    .      0    0.0283932    0.0523063    -0.105731  -0.00362328 
  AT0897    .      0   -0.0265708    0.0115742    0.0147544   -0.0187708 
  AT0905    .      0   -0.0612135    0.0542253    0.0177581    0.0530707 
  AT0908    .      0   -0.0205497    0.0567828    0.0255967    0.0334003 
  AT0916    .      0   -0.0659321   -0.0603277   -0.0098441 -0.000683071 
  AT0922    .      0   -0.0252226   0.00332954   0.00366252   -0.0261186 
  AT0926    .      0    -0.040437    0.0390541    0.0254159   0.00100826 
  AT0932    .      0   -0.0493808    -0.125586   -0.0303543   -0.0200144 
  AT0933    .      0   -0.0443208    0.0406975   0.00799795    0.0532674 
  AT0938    .      0   -0.0151821    0.0267649    0.0127871    0.0174027 
  AT0940    .      0   -0.0385205    0.0441343    0.0332108    0.0209005 
  AT0946    .      0   -0.0583023    -0.124032   -0.0639297    0.0138427 
  AT0950    .      0    0.0306994    0.0571234    -0.087078    0.0348185 
  AT0952    .      0   -0.0323704    0.0260956  -0.00813305   -0.0170752 
  AT0955    .      0   -0.0481234    0.0346591    0.0227514   0.00776305 
  AT0966    .      0    0.0115329    0.0608941   -0.0714205    0.0168674 
  AT0968    .      0    0.0239897    0.0618142   -0.0756784   -0.0465212 
  AT0976    .      0   -0.0252582   -0.0464879  -0.00914238   -0.0115759 
  AT0984    .      0    0.0293511  -0.00946501    0.0261133     0.027847 
  AT0985    .      0    -0.030714    0.0153875    0.0274885    0.0327325 
  AT0991    .      0   -0.0121921    0.0493235    0.0528805   -0.0225233 
  AT0992    .      0   -0.0288782    0.0423082    0.0422301   0.00921397 
  AT0998    .      0   -0.0275778    0.0149437   -0.0197859   0.00393305 
  AT1000    .      0   -0.0456574    0.0263878    0.0261414    0.0139828 
  AT1002    .      0    -0.042518   -0.0596058   -0.0445405    -0.025705 
  AT1017    .      0   -0.0167628    0.0165483   -0.0146529   -0.0212589 
  AT1019    .      0   -0.0106454    0.0670969   0.00987716    -0.015385 
  AT1029    .      0   -0.0495575   0.00338263    0.0104815   -0.0188451 
  AT1034    .      0    0.0246923    0.0621031   -0.0757506    -0.047115 
  AT1038    .      0   -0.0406804    0.0463837    0.0216903     0.017474 
  AT1042    .      0    -0.042763     0.053607    0.0209364   -0.0209655 
  AT1044    .      0   -0.0315448   -0.0173561   -0.0215251    0.0135744 
  AT1050    .      0  -0.00848066   -0.0391002   -0.0104366  -0.00333829 
  AT1063    .      0    0.0353443    0.0352153   -0.0536626    0.0138404 
  AT1068    .      0    -0.038737    0.0112391    0.0220068   -0.0385501 
  AT1069    .      0   -0.0192197   0.00786404    0.0240793    -0.024845 
  AT1071    .      0   -0.0257732   -0.0568225   -0.0166241   -0.0247916 
  AT1080    .      0   0.00550689   -0.0569936   0.00495187   0.00693072 
  AT1083    .      0   -0.0567735   -0.0106084  -0.00865496    0.0147313 
  AT1090    .      0   -0.0535657    0.0144369   -0.0367156    0.0278675 
  AT1095    .      0   -0.0402904    0.0368661    0.0207697   -0.0219952 
  AT1099    .      0   -0.0374876  0.000631386   0.00822503   -0.0315699 
  AT1101    .      0   -0.0606438   -0.0505969   -0.0380144    0.0123035 
  AT1103    .      0   -0.0243696    0.0180936   0.00710019   -0.0250418 
  AT1108    .      0  -0.00827573    0.0183564  -0.00260613   -0.0225046 
  AT1109    .      0    0.0646108   0.00488624   0.00733458   -0.0513169 
  AT1116    .      0  -0.00839406   0.00222013   0.00932489 -0.000762036 
  AT1120    .      0   -0.0161865    0.0192739   0.00868814    0.0149069 
  AT1121    .      0  -0.00456459     0.035232   -0.0266922    0.0437538 
  AT1122    .      0    0.0701918    0.0435195   -0.0797641    -0.033505 
  AT1123    .      0    0.0415318    0.0363221   -0.0535776   0.00225545 
  AT1170    .      0    0.0614263   -0.0382074  -0.00938181    0.0339212 
  AT1171    .      0   0.00351379   -0.0432174  -0.00091456    -0.017176 
  AT1174    .      0    0.0245446   -0.0345932    0.0219504    0.0214593 
  AT1225    .      0   -0.0275511 -0.000697791   -0.0459223  -0.00335312 
  AT1226    .      0   -0.0275541    0.0210173    0.0314164   0.00290219 
  AT1227    .      0   -0.0359284   0.00788865    0.0334129    0.0431806 
  AT1228    .      0   -0.0379423   -0.0348777    0.0154065    0.0257003 
  AT1231    .      0   0.00573747    0.0063753   0.00559299   -0.0120656 
  AT1252    .      0   -0.0360977    0.0106673   -0.0199963   0.00226733 
  AT1272    .      0   -0.0368473   -0.0526786   -0.0374767  -0.00397704 
  AT1285    .      0   -0.0308558    0.0531569    0.0312332    -0.017587 
  AT1286    .      0   -0.0120843    0.0345463   0.00831318    0.0542331 
  AT1291    .      0   -0.0374857   -0.0429256    -0.014792   -0.0493261 
  AT1292    .      0    0.0265028   -0.0185731    0.0162739   -0.0321328 
  AT1296    .      0  -0.00276257    0.0503095    0.0217321    0.0032518 
  AT1298    .      0   -0.0623069    0.0222958    0.0053888    0.0139271 
  AT1299    .      0    -0.035284     0.007092    0.0412723   -0.0682598 
  AT1304    .      0    0.0191547    0.0556298   -0.0924526  -0.00885553 
  AT1305    .      0    0.0364951   -0.0489072   0.00166787   0.00445417 
  AT1309    .      0   -0.0190886   -0.0205411    0.0363032    0.0192094 
  AT1310    .      0   -0.0231562    0.0351269     0.022938   -0.0243421 
  AT1312    .      0    -0.035957    0.0373074     0.042686    0.0120373 
  AT1316    .      0  -0.00536258    0.0450193   -0.0353163   0.00962369 
  AT1325    .      0   -0.0294552    0.0273148    0.0141534   0.00893577 
  AT1333    .      0   -0.0562486   -0.0493131  -0.00962108  -0.00661569 
  AT1337    .      0   -0.0628532  -0.00684367  -0.00103401    0.0109905 
  AT1340    .      0   -0.0181183    0.0349736  -0.00224825   -0.0161009 
  AT1348    .      0   -0.0646091    -0.027763    0.0107406    0.0224466 
  AT1350    .      0   -0.0287114   0.00767674    0.0204494    0.0192323 
  AT1354    .      0   -0.0394217    0.0137351    0.0113714   -0.0214364 
  AT1431    .      0    0.0415779   -0.0215937   0.00891888  -0.00027308 
  AT1467    .      0   -0.0615366   -0.0553149   -0.0240517    0.0333165 
  AT1477    .      0   -0.0434816    0.0597721    0.0100686   -0.0143683 
  AT1508    .      0   -0.0293202   -0.0266742   -0.0227951   -0.0230005 
   DM056    .      0   -0.0353106    -0.034398   -0.0212895   0.00677201 
   DM086    .      0    0.0477757   0.00978159   -0.0312627    -0.035804 
   DM097    .      0    0.0414442   -0.0317984    0.0386798   -0.0148736 
   DM102    .      0    -0.035445   0.00859377    0.0267164  -0.00942649 
   DM107    .      0   -0.0305342    0.0372953    0.0281868   0.00824435 
   DM120    .      0    0.0372409   -0.0282072  -0.00919203   -0.0100488 
   DM158    .      0    -0.074926    -0.030627   -0.0283514   -0.0118562 
   DM165    .      0   -0.0310713    0.0236118    0.0218793   -0.0207796 
   DM176    .      0   -0.0356715    0.0231456  -0.00822936    0.0302087 
   DM184    .      0   -0.0643947    -0.125568   -0.0469405    0.0419727 
   DM185    .      0    0.0165763   -0.0665539    -0.100312   -0.0128143 
   DM212    .      0   -0.0771755   -0.0273245   -0.0126345   -0.0221544 
   G5068    .      0   -0.0348976    0.0457464   0.00757443   -0.0294499 
   G5150    .      0    0.0653007  -0.00236785   0.00992145    0.0111416 
   G5339    .      0    0.0393765   -0.0064467    0.0303711    0.0159944 
   G5345    .      0   -0.0482863   -0.0235785  0.000657379    0.0343996 
   G5412    .      0   -0.0473195   -0.0589374   -0.0438703   -0.0231864 
   G5413    .      0     0.055356  -0.00689456   0.00825565   -0.0248547 
   G5415    .      0    0.0428105   -0.0313752    0.0347709  -0.00107487 
   G5428    .      0  -0.00683605    0.0132421   -0.0130998    0.0112391 
   G5429    .      0    0.0733158   0.00903697    0.0326704   -0.0122369 
   G5438    .      0    0.0529273   0.00592547    0.0652111    0.0322084 
   G5444    .      0    0.0468851   0.00503543  -0.00281942  -0.00817451 
   G5449    .      0   -0.0369789    0.0265391     0.028947   0.00131723 
   G5460    .      0   -0.0294139     0.033431   0.00843605    -0.038472 
   G5469    .      0   -0.0366831    0.0535391    0.0358945   -0.0211495 
   G5485    .      0    0.0420822   -0.0225212    0.0301955   -0.0272533 
   G5553    .      0     0.061473   -0.0128754    0.0332075    0.0166686 
   G5566    .      0   -0.0124991    -0.070877   -0.0249574   -0.0152662 
   G5569    .      0     0.024441   -0.0452432  -0.00267913   -0.0234474 
   G5573    .      0    0.0124257  -0.00376121     0.024406   -0.0184239 
   G5576    .      0    0.0510687    0.0135085   -0.0169393    0.0146908 
   G5579    .      0     0.039754  -0.00489831   0.00483566   0.00786305 
   G5589    .      0    -0.036091   0.00385264   0.00639542   0.00359772 
   G5598    .      0    0.0235447   -0.0611888    0.0156831   0.00459976 
   G5605    .      0    -0.016297    -0.026326    0.0245838   -0.0202583 
   G5607    .      0    0.0567413  -0.00874133    0.0151262   -0.0115164 
   G5630    .      0   -0.0666678    -0.117104   -0.0747543    0.0101786 
   G5635    .      0   -0.0263965     0.049035    0.0102148   -0.0296709 
   G5644    .      0  -0.00422788    0.0366512    0.0070829     0.012254 
   G5650    .      0    0.0106257    -0.039206   0.00912348   -0.0224246 
   G5663    .      0     0.069776  -0.00951934    0.0153722   -0.0146434 
   G5664    .      0    0.0487856   -0.0184002    0.0235173    -0.011525 
   G5665    .      0   -0.0535935    0.0294194    0.0258086    0.0549619 
   G5666    .      0    0.0412232   -0.0162075   0.00856798    -0.016898 
   G5680    .      0     0.047755   -0.0183792    0.0255493   0.00152842 
   G5693    .      0   -0.0165783    0.0350803    0.0095486   -0.0232985 
   G5695    .      0    0.0357956   -0.0105727   -0.0101966  -0.00121901 
   G5703    .      0    0.0370947    0.0246784    0.0133062   -0.0063124 
   G5707    .      0    0.0207993     0.013807    0.0108654   0.00153162 
   G5712    .      0   -0.0226775    0.0219809  -0.00287191  -0.00677045 
   G5714    .      0   -0.0525457   -0.0396223 -0.000451555  -0.00395153 
   G5727    .      0   -0.0317222    0.0328573    0.0369797     0.013736 
   G5755    .      0   -0.0176966    0.0314021    0.0275969  -0.00206119 
   G5759    .      0    0.0484761  -0.00643968    0.0199692    0.0329427 
   G5760    .      0    0.0298608   -0.0115295   0.00541656   -0.0585131 
   G5763    .      0   -0.0335967     0.018612    0.0232511    0.0209304 
   G5770    .      0    0.0154623   -0.0116658  -0.00964636   -0.0380863 
   G5774    .      0   -0.0256487     0.025547    0.0096935 -0.000472696 
   G5777    .      0     0.032976    -0.054354   -0.0243955    0.0433796 
   G5778    .      0    0.0381445   -0.0299126      0.04064   0.00369858 
   G5790    .      0    0.0370046   -0.0292972   0.00886926     0.016325 
   G5802    .      0   -0.0596779    0.0230527   -0.0327475   -0.0236333 
   G5804    .      0    0.0765049   -0.0251348    0.0025605   0.00159959 
   G5812    .      0  -0.00876995  -0.00505486    0.0438256     0.027699 
   G5829    .      0   -0.0223543   0.00373615    0.0308328  -0.00621851 
   G5830    .      0   -0.0649728   0.00890771    0.0226375   0.00208397 
   G5834    .      0    0.0810681    -0.021183   0.00277933    0.0355523 
   G5843    .      0    0.0412764   -0.0232894    0.0162928    0.0330104 
   G5852    .      0     0.053826    0.0153667   0.00205645    0.0130325 
   G5853    .      0    0.0391732   -0.0203569    0.0211362   -0.0246623 
   G5869    .      0     0.034856  -0.00934891  -0.00276141 -0.000912418 
   G5870    .      0  -0.00185522    0.0460162    0.0100952   -0.0168334 
   G5876    .      0   -0.0326692    0.0232828    0.0113485   -0.0117315 
   G5877    .      0    0.0351295   0.00391376    0.0261558   -0.0403914 
   G5889    .      0    0.0154421   -0.0316579    -0.020048    0.0540645 
   G5890    .      0    0.0510221    -0.032913    0.0307219    -0.001904 
   G5900    .      0    0.0605832  -0.00122982    0.0328728   -0.0100437 
   G5901    .      0    0.0478133   -0.0160847    0.0180536    0.0151934 
   G5905    .      0    0.0504575  -0.00373716    0.0296013    -0.012558 
   G5906    .      0    0.0507156   -0.0100178   0.00862659      0.03037 
   G5913    .      0  -0.00633903     0.034986   0.00592331   -0.0159335 
   G5914    .      0    0.0394324   -0.0144245     0.031443    0.0397637 
   G5923    .      0    0.0362542   -0.0114889   -0.0179856    0.0147467 
   G5925    .      0    0.0274896  -0.00583566    -0.018331   0.00976215 
   G5936    .      0    0.0494139   -0.0544698   -0.0223494    0.0156116 
   G5939    .      0   -0.0420142  -0.00492881    0.0102635   0.00527627 
   G5940    .      0    -0.046184    0.0662172     0.013748   -0.0146164 
   G5942    .      0     0.040274   0.00283685    0.0197932   -0.0194326 
   G5943    .      0    0.0332822  -0.00368363    0.0248814    0.0344919 
   G5951    .      0  -0.00425143   0.00678753     0.020458  -0.00742154 
   G5977    .      0    0.0523424    -0.010006    0.0379865   -0.0221799 
   G5979    .      0   -0.0680998   -0.0827817  -0.00217843   0.00638782 
   G5981    .      0   -0.0307769   -0.0154114    0.0100457   0.00882698 
   G5989    .      0     0.010566   0.00850315   0.00211373    0.0305544 
   G5999    .      0   -0.0516377    0.0184031   0.00409567   -0.0045804 
   G6000    .      0    0.0257575    -0.014794  -0.00860295    -0.002162 
   G6006    .      0    0.0709508   -0.0222198 -0.000698469   0.00455069 
   G6008    .      0    0.0495681   0.00635016    0.0221417  -0.00128057 
   G6013    .      0   -0.0473626   0.00187889    0.0213651    0.0127763 
   G6016    .      0    0.0439966   -0.0354292     0.013469   0.00195689 
   G6026    .      0   -0.0658943    -0.146096   -0.0618501   -0.0175162 
   G6043    .      0    0.0407035  -0.00840194   0.00735171   -0.0046556 
   G6048    .      0    0.0652119   -0.0290635    0.0308304  -0.00623012 
   G6056    .      0   -0.0365755  -0.00617979   -0.0331301   -0.0197781 
   G6092    .      0    0.0126624   -0.0324695   0.00830704   0.00808221 
   G6094    .      0    0.0536405    -0.012039    0.0198982  -0.00533967 
   G6096    .      0  -0.00367591   0.00477754    0.0131318  -0.00363779 
   G6111    .      0    0.0370876  -0.00890271   0.00894392    0.0843539 
   G6117    .      0   -0.0521824    0.0421206    0.0186397   0.00196667 
   G6150    .      0    0.0254759   0.00779126  -0.00886263    0.0129221 
   G6153    .      0    0.0130428  -0.00797657    0.0161233  -0.00525431 
   G6157    .      0    0.0133598   -0.0174798   -0.0105251    0.0229783 
   G6165    .      0   -0.0122573    0.0152968   0.00337423    0.0196842 
   G6169    .      0     0.042424   0.00429405   0.00273089    -0.019689 
   G6171    .      0  -0.00085454   -0.0454407   0.00620458   -0.0209083 
   G6174    .      0    -0.027621   -0.0876782    -0.046459   -0.0191713 
   G6177    .      0    0.0530449  -0.00599179    0.0089249    0.0198341 
   G6181    .      0   -0.0553125  -0.00935431    0.0128484    0.0212375 
   G6185    .      0    0.0180429  -0.00860231  -0.00538243   0.00552822 
   G6187    .      0    0.0461932   -0.0211383    0.0242488    0.0286448 
   G6189    .      0    0.0328934   -0.0269315     0.012972    0.0213344 
   G6197    .      0   -0.0600944    -0.093272  -0.00354163    -0.011365 
   G6204    .      0    0.0384846   -0.0371369    0.0168332   -0.0332626 
   G6207    .      0    0.0620816   0.00701118    0.0186667   -0.0145188 
   G6221    .      0    0.0269855  -0.00847832   -0.0103232     0.041189 
   G6222    .      0    0.0549538   0.00531984    0.0059921    0.0276652 
